"","subject_id","estimate","p.value"
"1","sp|P15348|TOP2_DROME",0.997095435066593,0.000187830531040829
"2","sp|Q92072|DNMT1_CHICK",0.931535879162143,0.0212822427372339
"3","sp|Q8L5V0|RPB9B_ARATH",0.907085764286793,0.0335204608007023
"4","sp|Q497V6|BAHD1_MOUSE",0.886854420476903,0.0449033491041237
"5","sp|A1A4R1|H2A2C_BOVIN",0.806473088802435,0.00152927678021406
"6","sp|Q26263|DPN_DROME",-0.455487715435473,0.0331512945106397
"7","sp|Q6FLD5|RPB2_CANGA",-0.610253222618361,0.0350901198701111
"8","sp|P38123|SWD3_YEAST",-0.827191529105977,0.0422138818151857
"9","sp|Q16531|DDB1_HUMAN",-0.828997822045298,0.0413624162683003
"10","sp|Q864U1|BRCA1_BOVIN",-0.838558120180452,0.0369913521914074
"11","sp|P84245|H33_RAT",-0.889523975475284,0.017633250704229
"12","sp|Q8BHG9|CGBP1_MOUSE",-0.891249278224083,0.0170969970899598
"13","sp|Q92754|AP2C_HUMAN",-0.917745560969117,0.0279666629984142
"14","sp|Q5ZMD6|H2AZ_CHICK",-0.932547773152498,0.0208153972419409
